KOD PROGRAM,PROGRAM,ENROLL_PCT_2020,EMPLOY_PCT_2020,GM_PCT_2020,ENROLL_PCT_2021,EMPLOY_PCT_2021,GM_PCT_2021,ENROLL_PCT_2022,EMPLOY_PCT_2022,GM_PCT_2022,ENROLL_PCT_2023,EMPLOY_PCT_2023,GM_PCT_2023,ENROLL_PCT_2024,EMPLOY_PCT_2024,GM_PCT_2024,AVERAGE ENROLLMENT,AVERAGE EMPLOYABILITY,AVERAGE GM
DAS,Diploma Kejuruteraan Alam Sekitar,51.66666666666667,53,77,58.75,64,89,55.208333333333336,67,98,59.166666666666664,67,84,50.208333333333336,58,76,55.0,61.8,84.8
DKA,Diploma Kejuruteraan Awam,92.29729729729729,1606,2307,88.40090090090091,1724,2269,76.86936936936937,1745,2328,71.00225225225225,1763,2372,65.09009009009009,1451,2055,78.73198198198199,1657.8,2266.2
DET,Diploma Kejuruteraan Elektrik,87.66666666666667,578,750,90.52777777777777,495,622,82.55555555555556,653,780,82.05555555555556,839,998,84.0,701,878,85.36111111111111,653.2,805.6
DEI,Diploma Kejuruteraan Elektrik & Instrumentasi,27.916666666666668,0,0,38.75,41,47,32.77777777777778,43,52,29.86111111111111,42,53,24.86111111111111,51,65,30.833333333333336,35.4,43.4
DEQ,Diploma Kejuruteraan Elektrik (Kecekapan Tenaga),88.75,24,40,63.33333333333333,31,46,75.41666666666667,28,37,95.41666666666667,38,54,105.0,46,68,85.58333333333334,33.4,49.0
DEG,Diploma Kejuruteraan Elektrik (Tenaga Hijau),72.5,817,1154,63.33333333333333,935,1244,82.08333333333333,1052,1407,88.75,1194,1469,75.83333333333333,881,1171,76.49999999999999,975.8,1289.0
DEE,Diploma Kejuruteraan Elektrik dan Elektronik,79.1747572815534,0,0,78.43042071197411,0,25,67.92880258899676,0,0,63.54368932038835,57,83,61.116504854368934,45,61,70.03883495145631,20.4,33.8
DJK,Diploma Kejuruteraan Elektronik (Kawalan),65.83333333333333,193,282,62.83333333333333,191,274,48.5,159,245,36.0,173,241,26.083333333333332,125,196,47.85,168.2,247.6
DTK,Diploma Kejuruteraan Elektronik (Komputer),83.3974358974359,409,594,83.14102564102565,502,708,82.40384615384615,567,754,80.92948717948718,601,779,71.63461538461539,482,668,80.30128205128206,512.2,700.6
DEP,Diploma Kejuruteraan Elektronik (Komunikasi),60.49122807017544,695,955,58.94736842105262,628,874,46.64912280701755,712,967,36.70175438596491,711,1042,24.12280701754386,615,888,45.38245614035087,672.2,945.2
DEO,Diploma Kejuruteraan Elektronik (Optoelektronik),54.58333333333333,32,58,47.5,27,36,34.166666666666664,30,42,25.0,43,69,17.5,18,27,35.75,30.0,46.4
DEU,Diploma Kejuruteraan Elektronik (Perubatan),114.58333333333333,41,88,116.66666666666667,46,103,104.58333333333334,50,93,118.33333333333333,55,95,125.83333333333333,26,66,116.0,43.6,89.0
DCE,Diploma Kejuruteraan Kimia,24.166666666666668,0,0,35.55555555555556,4,19,31.11111111111111,2,2,34.583333333333336,46,84,28.333333333333332,26,48,30.750000000000007,15.6,30.6
DKM,Diploma Kejuruteraan Mekanikal,55.30208333333333,1538,2276,53.125,1467,2100,45.28125,1723,2344,43.125,1696,2402,60.54166666666667,1413,2094,51.475,1567.4,2243.2
DMA,Diploma Kejuruteraan Mekanikal (Automasi),45.416666666666664,23,25,57.91666666666667,12,20,39.58333333333333,36,46,45.83333333333333,22,28,37.083333333333336,15,22,45.16666666666667,21.6,28.2
DAD,Diploma Kejuruteraan Mekanikal (Automotif),82.56410256410255,536,666,75.67307692307692,550,677,69.77564102564102,620,735,68.23717948717949,558,639,67.98076923076923,478,591,72.84615384615384,548.4,661.6
DMB,Diploma Kejuruteraan Mekanikal (Bahan),91.66666666666666,28,53,85.0,67,85,74.16666666666667,55,75,62.5,54,75,45.0,37,62,71.66666666666666,48.2,70.0
DJL,Diploma Kejuruteraan Mekanikal (Loji),63.95833333333333,75,89,70.625,20,22,62.916666666666664,64,76,55.833333333333336,121,143,39.375,58,73,58.541666666666664,67.6,80.6
DTP,Diploma Kejuruteraan Mekanikal (Pembuatan),53.61111111111111,489,616,52.416666666666664,404,522,47.5,423,578,41.94444444444444,449,572,32.02777777777778,361,472,45.5,425.2,552.0
DMP,Diploma Kejuruteraan Mekanikal (Pembungkusan),124.16666666666667,30,51,94.16666666666667,54,72,44.583333333333336,76,119,35.41666666666667,63,109,23.75,19,30,64.41666666666667,48.4,76.2
DPU,Diploma Kejuruteraan Mekanikal (Penyamanan Udara Dan Penyejukbekuan),52.361111111111114,56,92,53.333333333333336,58,80,47.77777777777778,88,100,51.388888888888886,0,0,55.41666666666667,66,88,52.05555555555556,53.6,72.0
DPT,Diploma Kejuruteraan Mekanikal (Pertanian),45.208333333333336,72,86,47.708333333333336,56,68,39.375,46,55,42.083333333333336,75,82,36.041666666666664,48,52,42.083333333333336,59.4,68.6
DPC,Diploma Kejuruteraan Mekanikal (Petrokimia),36.666666666666664,0,0,42.083333333333336,28,59,38.611111111111114,12,13,42.77777777777778,64,98,40.13888888888889,46,56,40.05555555555556,30.0,45.2
DMK,Diploma Kejuruteraan Mekanikal (Plastik),68.75,21,22,77.5,10,10,57.08333333333333,24,38,53.333333333333336,57,76,30.416666666666664,45,51,57.416666666666664,31.4,39.4
DRA,Diploma Kejuruteraan Mekanikal (Rekabentuk Pembuatan Automotif),48.75,51,66,51.041666666666664,40,54,36.666666666666664,56,84,45.83333333333333,59,68,40.416666666666664,43,49,44.54166666666666,49.8,64.2
DRP,Diploma Kejuruteraan Mekanikal (Rekabentuk Produk),23.333333333333332,52,61,25.833333333333336,27,39,21.25,27,32,22.5,29,36,17.291666666666668,22,31,22.041666666666668,31.4,39.8
DMT,Diploma Kejuruteraan Mekanikal (Tekstil),32.916666666666664,30,32,33.75,5,5,24.166666666666668,22,29,22.083333333333332,30,33,15.416666666666668,13,18,25.666666666666664,20.0,23.4
DEM,Diploma Kejuruteraan Mekatronik,60.88888888888889,384,623,59.44444444444444,353,560,51.19444444444444,425,611,43.166666666666664,471,668,32.27777777777778,330,560,49.39444444444444,392.6,604.4
DKP,Diploma Kejuruteraan Perkapalan,52.22222222222223,20,22,49.166666666666664,31,37,57.49999999999999,7,11,59.44444444444444,13,16,66.38888888888889,30,38,56.944444444444436,20.2,24.8
DPB,Diploma Kejuruteraan Perkhidmatan Bangunan,71.75,159,225,66.33333333333333,185,253,59.916666666666664,233,313,56.333333333333336,175,236,40.91666666666667,167,207,59.05,183.8,246.8
DPE,Diploma Kejuruteraan Proses (Petrokimia),47.91666666666667,88,151,59.0,64,120,55.91666666666667,61,86,53.083333333333336,120,172,47.583333333333336,128,203,52.7,92.2,146.4
